Date,Time_Hour,Voltage,Current,Power
30/05/2025, 11:33:42, 6.709, 7.353, 0.0493
30/05/2025, 11:34:42, 6.734, 7.329, 0.0494
30/05/2025, 11:35:42, 6.740, 7.394, 0.0498
30/05/2025, 11:36:42, 6.740, 7.353, 0.0496
30/05/2025, 11:37:42, 6.740, 7.313, 0.0493
30/05/2025, 11:38:42, 6.777, 7.507, 0.0509
30/05/2025, 11:39:42, 6.819, 7.353, 0.0501
30/05/2025, 11:41:42, 7.002, 7.789, 0.0545
30/05/2025, 11:42:42, 6.783, 7.587, 0.0515
30/05/2025, 11:43:42, 6.783, 7.547, 0.0512
30/05/2025, 11:44:42, 6.746, 7.595, 0.0512
30/05/2025, 11:45:42, 6.874, 7.523, 0.0517
30/05/2025, 11:46:42, 6.752, 7.507, 0.0507
30/05/2025, 11:47:42, 6.764, 7.595, 0.0514
30/05/2025, 11:48:42, 6.801, 7.563, 0.0514
30/05/2025, 11:49:42, 6.868, 7.539, 0.0518
30/05/2025, 11:50:42, 7.283, 8.748, 0.0637
30/05/2025, 11:51:42, 7.332, 8.804, 0.0646
30/05/2025, 11:52:42, 7.381, 8.804, 0.0650
30/05/2025, 11:53:42, 7.387, 8.772, 0.0648
30/05/2025, 11:54:42, 7.418, 8.957, 0.0664
30/05/2025, 11:55:42, 7.369, 8.901, 0.0656
30/05/2025, 11:56:42, 7.320, 8.909, 0.0652
30/05/2025, 11:57:42, 7.387, 8.893, 0.0657
30/05/2025, 11:58:42, 7.631, 9.674, 0.0738
30/05/2025, 11:59:42, 6.764, 7.337, 0.0496
30/05/2025, 12:00:42, 6.642, 7.257, 0.0482
30/05/2025, 12:01:42, 6.654, 7.216, 0.0480
30/05/2025, 12:03:42, 6.600, 7.088, 0.0468
30/05/2025, 12:04:42, 6.563, 7.120, 0.0467
30/05/2025, 12:05:42, 6.545, 7.015, 0.0459
30/05/2025, 12:06:42, 6.545, 6.959, 0.0455
30/05/2025, 12:07:42, 6.532, 6.926, 0.0452
