room,multiplier
101,0.64
102,0.64
103,0.64
104,0.64
105,0.64
106,0.64
108,0.64
109,0.64
111,1.52
201,0.288
202,0.288
203,0.288
204,0.288
205,0.288
206,0.288
207,0.288
209,0.288
210,0.288
302,0.96
303,0.96
304,0.96
305,0.96
306,0.96
307,0.96
308,0.96
309,0.96
211,0.096
213,0.096
215,0.096
222,0.096
223,0.096
225,0.096
227,0.096
228,0.096
313,0.096
314,0.096
316,0.096
318,0.096
319,0.096
320,0.096
322,0.096
324,0.096
326,0.48
401,0.096
402,0.096
403,0.096
404,0.096
406,0.096
407,0.096
408,0.096
409,0.096
410,0.096
412,0.096
413,0.096
414,0.096
415,0.096
417,0.096
418,0.096
419,0.096
702,0.48
703,0.48
704,0.48
705,0.48
