room,day,time_range,value
101,Monday,7:30-12:00,0.5
101,Monday,13:30-16:00,0.5
101,Monday,17:30-19:30,0.5
101,Tuesday,13:30-16:00,0.5
101,Tuesday,15:30-17:00,0.5
101,Wednesday,7:30-12:00,0.5
101,Wednesday,13:30-16:00,0.5
101,Wednesday,17:30-19:30,0.5
101,Thursday,13:30-16:00,0.5
101,Thursday,15:30-17:00,0.5
101,Friday,13:30-16:00,0.5
101,Friday,17:30-19:30,0.5
102,Monday,7:30-16:00,0.5
102,Tuesday,7:30-16:00,0.5
102,Wednesday,7:30-16:00,0.5
102,Thursday,7:30-16:00,0.5
103,Monday,7:30-8:00,0.5
103,Monday,8:00-8:30,0.5
103,Monday,8:30-9:00,0.5
103,Monday,9:00-9:30,0.5
103,Monday,9:30-10:00,0.5
103,Monday,10:00-10:30,0.5
103,Monday,10:30-11:00,0.5
103,Monday,11:00-11:30,0.5
103,Monday,11:30-12:00,0.5
103,Monday,12:00-12:30,0.5
103,Monday,12:30-13:00,0.5
103,Monday,13:00-13:30,0.5
103,Monday,13:30-14:00,0.5
103,Monday,14:00-14:30,0.5
103,Monday,14:30-15:00,0.5
103,Monday,15:00-15:30,0.5
103,Monday,15:30-16:00,0.5
103,Monday,16:00-16:30,0.5
103,Monday,16:30-17:00,0
103,Monday,17:00-17:30,0
103,Monday,17:30-18:00,0
103,Tuesday,7:30-8:00,0.5
103,Tuesday,8:00-8:30,0.5
103,Tuesday,8:30-9:00,0.5
103,Tuesday,9:00-9:30,0.5
103,Tuesday,9:30-10:00,0.5
103,Tuesday,10:00-10:30,0.5
103,Tuesday,10:30-11:00,0.5
103,Tuesday,11:00-11:30,0.5
103,Tuesday,11:30-12:00,0.5
103,Tuesday,12:00-12:30,0.5
103,Tuesday,12:30-13:00,0.5
103,Tuesday,13:00-13:30,0.5
103,Tuesday,13:30-14:00,0.5
103,Tuesday,14:00-14:30,0.5
103,Tuesday,14:30-15:00,0.5
103,Tuesday,15:00-15:30,0.5
103,Tuesday,15:30-16:00,0.5
103,Tuesday,16:00-16:30,0.5
103,Tuesday,16:30-17:00,0
103,Tuesday,17:00-17:30,0
103,Tuesday,17:30-18:00,0
103,Wednesday,7:30-8:00,0.5
103,Wednesday,8:00-8:30,0.5
103,Wednesday,8:30-9:00,0.5
103,Wednesday,9:00-9:30,0.5
103,Wednesday,9:30-10:00,0.5
103,Wednesday,10:00-10:30,0.5
103,Wednesday,10:30-11:00,0.5
103,Wednesday,11:00-11:30,0.5
103,Wednesday,11:30-12:00,0.5
103,Wednesday,12:00-12:30,0.5
103,Wednesday,12:30-13:00,0.5
103,Wednesday,13:00-13:30,0.5
103,Wednesday,13:30-14:00,0.5
103,Wednesday,14:00-14:30,0.5
103,Wednesday,14:30-15:00,0.5
