Date,Time_Hour,Room,Room_Type,Voltage (V),Current (A),Energy (kWh)
12/05/2025,8:00:00,101,lab,0,0,0.32
12/05/2025,8:30:00,101,lab,0,0,0.32
12/05/2025,9:00:00,101,lab,0,0,0.32
12/05/2025,9:30:00,101,lab,0,0,0.32
12/05/2025,10:00:00,101,lab,0,0,0.32
12/05/2025,10:30:00,101,lab,0,0,0.32
12/05/2025,11:00:00,101,lab,0,0,0.32
12/05/2025,11:30:00,101,lab,0,0,0.32
12/05/2025,12:00:00,101,lab,0,0,0.32
12/05/2025,12:30:00,101,lab,0,0,0.32
12/05/2025,13:00:00,101,lab,0,0,0.32
12/05/2025,13:30:00,101,lab,0,0,0.32
12/05/2025,14:00:00,101,lab,0,0,0.32
12/05/2025,14:30:00,101,lab,0,0,0.32
12/05/2025,15:00:00,101,lab,0,0,0.32
12/05/2025,15:30:00,101,lab,0,0,0.32
12/05/2025,16:00:00,101,lab,0,0,0.32
12/05/2025,16:30:00,101,lab,0,0,0.32
12/05/2025,17:00:00,101,lab,0,0,0.32
12/05/2025,17:30:00,101,lab,0,0,0.32
12/05/2025,18:00:00,101,lab,0,0,0.32
12/05/2025,18:30:00,101,lab,0,0,0.32
12/05/2025,19:00:00,101,lab,0,0,0.32
12/05/2025,19:30:00,101,lab,0,0,0.32
13/05/2025,8:00:00,101,lab,0,0,0.32
13/05/2025,8:30:00,101,lab,0,0,0.32
13/05/2025,9:00:00,101,lab,0,0,0.32
13/05/2025,9:30:00,101,lab,0,0,0.32
13/05/2025,10:00:00,101,lab,0,0,0.32
13/05/2025,10:30:00,101,lab,0,0,0.32
13/05/2025,11:00:00,101,lab,0,0,0.32
13/05/2025,11:30:00,101,lab,0,0,0.32
13/05/2025,12:00:00,101,lab,0,0,0.32
13/05/2025,12:30:00,101,lab,0,0,0.32
13/05/2025,13:00:00,101,lab,0,0,0.32
13/05/2025,13:30:00,101,lab,0,0,0.32
13/05/2025,14:00:00,101,lab,0,0,0.32
13/05/2025,14:30:00,101,lab,0,0,0.32
13/05/2025,15:00:00,101,lab,0,0,0.32
13/05/2025,15:30:00,101,lab,0,0,0.32
13/05/2025,16:00:00,101,lab,0,0,0.32
