date,room,room_type,energy_kWh
12/08/2024,101,lab,6.4
12/08/2024,102,lab,0
12/08/2024,103,lab,0
12/08/2024,104,lab,5.76
12/08/2024,105,lab,5.76
12/08/2024,106,lab,4.8
12/08/2024,108,lab,0
12/08/2024,201,lab,3.46
12/08/2024,202,lab,3.46
12/08/2024,203,lab,3.46
12/08/2024,204,lab,1.73
12/08/2024,205,lab,3.89
12/08/2024,206,lab,4.03
12/08/2024,207,lab,1.73
12/08/2024,209,lab,3.02
12/08/2024,210,lab,3.46
12/08/2024,302,lab,2.59
12/08/2024,304,lab,0
12/08/2024,305,lab,0.86
12/08/2024,306,lab,3.74
12/08/2024,307,lab,2.59
12/08/2024,309,lab,0
12/08/2024,211,lecture,1.15
12/08/2024,213,lecture,1.15
12/08/2024,215,lecture,1.15
12/08/2024,222,lecture,1.15
12/08/2024,223,lecture,1.15
12/08/2024,225,lecture,1.25
12/08/2024,227,lecture,0.86
12/08/2024,228,lecture,0.1
12/08/2024,313,lecture,1.25
12/08/2024,314,lecture,1.06
12/08/2024,316,lecture,1.15
12/08/2024,318,lecture,1.25
12/08/2024,319,lecture,1.15
12/08/2024,320,lecture,1.06
12/08/2024,322,lecture,1.15
12/08/2024,324,lecture,0.96
12/08/2024,326,lecture,0
12/08/2024,401,lecture,1.34
12/08/2024,402,lecture,1.15
12/08/2024,403,lecture,1.34
12/08/2024,404,lecture,1.15
12/08/2024,406,lecture,1.15
12/08/2024,407,lecture,1.15
12/08/2024,408,lecture,1.15
12/08/2024,409,lecture,1.34
12/08/2024,410,lecture,1.15
12/08/2024,412,lecture,0.86
12/08/2024,413,lecture,1.34
12/08/2024,414,lecture,1.15
12/08/2024,415,lecture,1.25
12/08/2024,417,lecture,1.25
12/08/2024,418,lecture,1.15
12/08/2024,419,lecture,0
12/08/2024,702,lecture,5.28
12/08/2024,703,lecture,5.28
12/08/2024,704,lecture,5.28
12/08/2024,705,lecture,6.24
13/08/2024,101,lab,5.76
13/08/2024,102,lab,1.92
13/08/2024,103,lab,1.92
13/08/2024,104,lab,5.76
13/08/2024,105,lab,1.92
13/08/2024,106,lab,3.2
13/08/2024,108,lab,3.84
13/08/2024,201,lab,2.59
13/08/2024,202,lab,2.59
13/08/2024,203,lab,3.46
13/08/2024,204,lab,3.46
13/08/2024,205,lab,3.89
13/08/2024,206,lab,3.46
13/08/2024,207,lab,3.46
13/08/2024,209,lab,2.59
13/08/2024,210,lab,3.74
13/08/2024,302,lab,0.86
13/08/2024,304,lab,1.73
13/08/2024,305,lab,3.46
13/08/2024,306,lab,1.44
13/08/2024,307,lab,1.73
13/08/2024,309,lab,3.89
13/08/2024,211,lecture,1.15
13/08/2024,213,lecture,1.15
13/08/2024,215,lecture,1.34
13/08/2024,222,lecture,0.29
13/08/2024,223,lecture,1.15
13/08/2024,225,lecture,1.25
13/08/2024,227,lecture,1.3
13/08/2024,228,lecture,0.77
13/08/2024,313,lecture,1.3
13/08/2024,314,lecture,1.15
13/08/2024,316,lecture,1.15
13/08/2024,318,lecture,1.15
13/08/2024,319,lecture,1.3
13/08/2024,320,lecture,1.06
13/08/2024,322,lecture,1.15
13/08/2024,324,lecture,0.96
13/08/2024,326,lecture,0.58
13/08/2024,401,lecture,1.01
13/08/2024,402,lecture,1.3
13/08/2024,403,lecture,1.1
13/08/2024,404,lecture,1.15
13/08/2024,406,lecture,1.15
13/08/2024,407,lecture,1.15
13/08/2024,408,lecture,1.15
13/08/2024,409,lecture,1.3
13/08/2024,410,lecture,1.15
13/08/2024,412,lecture,1.15
13/08/2024,413,lecture,1.15
13/08/2024,414,lecture,1.3
13/08/2024,415,lecture,1.15
13/08/2024,417,lecture,1.15
13/08/2024,418,lecture,1.1
13/08/2024,419,lecture,0
13/08/2024,702,lecture,5.76
13/08/2024,703,lecture,5.76
13/08/2024,704,lecture,6.72
13/08/2024,705,lecture,6.24
14/08/2024,101,lab,4.48
14/08/2024,102,lab,0
14/08/2024,103,lab,0
14/08/2024,104,lab,7.68
14/08/2024,105,lab,5.76
14/08/2024,106,lab,4.8
14/08/2024,108,lab,1.92
14/08/2024,201,lab,3.46
14/08/2024,202,lab,2.59
14/08/2024,203,lab,3.46
14/08/2024,204,lab,3.46
14/08/2024,205,lab,2.16
14/08/2024,206,lab,3.89
14/08/2024,207,lab,3.46
14/08/2024,209,lab,3.02
14/08/2024,210,lab,3.46
14/08/2024,302,lab,0.86
14/08/2024,304,lab,0
14/08/2024,305,lab,1.58
14/08/2024,306,lab,2.88
14/08/2024,307,lab,0.86
14/08/2024,309,lab,2.59
14/08/2024,211,lecture,1.15
14/08/2024,213,lecture,1.15
14/08/2024,215,lecture,1.15
14/08/2024,222,lecture,1.25
14/08/2024,223,lecture,1.15
14/08/2024,225,lecture,1.25
14/08/2024,227,lecture,0.77
14/08/2024,228,lecture,1.25
14/08/2024,313,lecture,1.3
14/08/2024,314,lecture,1.15
14/08/2024,316,lecture,1.25
14/08/2024,318,lecture,1.15
14/08/2024,319,lecture,1.34
14/08/2024,320,lecture,0.96
14/08/2024,322,lecture,1.15
14/08/2024,324,lecture,1.25
14/08/2024,326,lecture,0.29
14/08/2024,401,lecture,1.34
14/08/2024,402,lecture,1.15
14/08/2024,403,lecture,1.34
14/08/2024,404,lecture,1.15
14/08/2024,406,lecture,1.15
14/08/2024,407,lecture,1.15
14/08/2024,408,lecture,1.15
14/08/2024,409,lecture,1.15
14/08/2024,410,lecture,1.25
14/08/2024,412,lecture,1.15
14/08/2024,413,lecture,1.15
14/08/2024,414,lecture,1.15
14/08/2024,415,lecture,1.15
14/08/2024,417,lecture,1.34
14/08/2024,418,lecture,1.1
14/08/2024,419,lecture,0.58
14/08/2024,702,lecture,6.24
14/08/2024,703,lecture,5.76
14/08/2024,704,lecture,6.24
14/08/2024,705,lecture,6.72
15/08/2024,101,lab,5.76
15/08/2024,102,lab,1.92
15/08/2024,103,lab,1.92
15/08/2024,104,lab,5.76
15/08/2024,105,lab,1.92
15/08/2024,106,lab,3.2
15/08/2024,108,lab,3.84
15/08/2024,201,lab,3.46
15/08/2024,202,lab,0.86
15/08/2024,203,lab,3.46
15/08/2024,204,lab,3.46
15/08/2024,205,lab,3.89
15/08/2024,206,lab,3.74
15/08/2024,207,lab,1.73
15/08/2024,209,lab,2.16
15/08/2024,210,lab,4.03
15/08/2024,302,lab,0.86
15/08/2024,304,lab,0
15/08/2024,305,lab,3.46
15/08/2024,306,lab,3.46
15/08/2024,307,lab,2.59
15/08/2024,309,lab,2.59
15/08/2024,211,lecture,1.06
15/08/2024,213,lecture,1.15
15/08/2024,215,lecture,1.34
15/08/2024,222,lecture,1.15
15/08/2024,223,lecture,1.15
15/08/2024,225,lecture,1.25
15/08/2024,227,lecture,1.3
15/08/2024,228,lecture,1.15
15/08/2024,313,lecture,1.3
15/08/2024,314,lecture,1.15
15/08/2024,316,lecture,1.25
15/08/2024,318,lecture,1.15
15/08/2024,319,lecture,1.15
15/08/2024,320,lecture,1.34
15/08/2024,322,lecture,1.15
15/08/2024,324,lecture,1.01
15/08/2024,326,lecture,0
15/08/2024,401,lecture,1.34
15/08/2024,402,lecture,1.15
15/08/2024,403,lecture,1.1
15/08/2024,404,lecture,1.15
15/08/2024,406,lecture,1.15
15/08/2024,407,lecture,1.25
15/08/2024,408,lecture,0.86
15/08/2024,409,lecture,1.3
15/08/2024,410,lecture,1.01
15/08/2024,412,lecture,1.15
15/08/2024,413,lecture,1.15
15/08/2024,414,lecture,1.3
15/08/2024,415,lecture,1.15
15/08/2024,417,lecture,1.15
15/08/2024,418,lecture,1.1
15/08/2024,419,lecture,0
15/08/2024,702,lecture,6.24
15/08/2024,703,lecture,5.76
15/08/2024,704,lecture,6.24
15/08/2024,705,lecture,6.24
16/08/2024,101,lab,2.56
16/08/2024,102,lab,3.84
16/08/2024,103,lab,3.84
16/08/2024,104,lab,3.84
16/08/2024,105,lab,0
16/08/2024,106,lab,3.2
16/08/2024,108,lab,1.92
16/08/2024,201,lab,1.73
16/08/2024,202,lab,3.46
16/08/2024,203,lab,3.46
16/08/2024,204,lab,3.46
16/08/2024,205,lab,2.3
16/08/2024,206,lab,3.89
16/08/2024,207,lab,1.73
16/08/2024,209,lab,3.02
16/08/2024,210,lab,3.46
16/08/2024,302,lab,1.01
16/08/2024,304,lab,2.59
16/08/2024,305,lab,0
16/08/2024,306,lab,2.59
16/08/2024,307,lab,1.73
16/08/2024,309,lab,0.86
16/08/2024,211,lecture,1.15
16/08/2024,213,lecture,1.15
16/08/2024,215,lecture,1.15
16/08/2024,222,lecture,1.15
16/08/2024,223,lecture,1.15
16/08/2024,225,lecture,1.25
16/08/2024,227,lecture,0.29
16/08/2024,228,lecture,1.34
16/08/2024,313,lecture,1.25
16/08/2024,314,lecture,0.86
16/08/2024,316,lecture,1.25
16/08/2024,318,lecture,1.15
16/08/2024,319,lecture,1.15
16/08/2024,320,lecture,0.96
16/08/2024,322,lecture,1.15
16/08/2024,324,lecture,0.96
16/08/2024,326,lecture,0.29
16/08/2024,401,lecture,1.34
16/08/2024,402,lecture,1.34
16/08/2024,403,lecture,1.25
16/08/2024,404,lecture,1.15
16/08/2024,406,lecture,1.15
16/08/2024,407,lecture,1.15
16/08/2024,408,lecture,1.15
16/08/2024,409,lecture,0.86
16/08/2024,410,lecture,1.15
16/08/2024,412,lecture,1.15
16/08/2024,413,lecture,1.15
16/08/2024,414,lecture,1.15
16/08/2024,415,lecture,1.34
16/08/2024,417,lecture,1.15
16/08/2024,418,lecture,0.29
16/08/2024,419,lecture,0.86
16/08/2024,702,lecture,4.32
16/08/2024,703,lecture,6.72
16/08/2024,704,lecture,1.44
16/08/2024,705,lecture,5.76
17/08/2024,101,lab,0
17/08/2024,102,lab,3.84
17/08/2024,103,lab,3.84
17/08/2024,104,lab,5.76
17/08/2024,105,lab,0
17/08/2024,106,lab,0
17/08/2024,108,lab,5.76
17/08/2024,201,lab,1.73
17/08/2024,202,lab,2.59
17/08/2024,203,lab,2.59
17/08/2024,204,lab,1.73
17/08/2024,205,lab,3.17
17/08/2024,206,lab,3.17
17/08/2024,207,lab,1.73
17/08/2024,209,lab,0
17/08/2024,210,lab,2.02
17/08/2024,302,lab,2.59
17/08/2024,304,lab,0
17/08/2024,305,lab,0.86
17/08/2024,306,lab,0
17/08/2024,307,lab,0.86
17/08/2024,309,lab,0
17/08/2024,211,lecture,1.15
17/08/2024,213,lecture,1.1
17/08/2024,215,lecture,1.15
17/08/2024,222,lecture,0.29
17/08/2024,223,lecture,0.38
17/08/2024,225,lecture,1.25
17/08/2024,227,lecture,0
17/08/2024,228,lecture,0
17/08/2024,313,lecture,1.06
17/08/2024,314,lecture,0.86
17/08/2024,316,lecture,1.25
17/08/2024,318,lecture,1.06
17/08/2024,319,lecture,0
17/08/2024,320,lecture,0.72
17/08/2024,322,lecture,1.15
17/08/2024,324,lecture,0.96
17/08/2024,326,lecture,0
17/08/2024,401,lecture,0.29
17/08/2024,402,lecture,1.06
17/08/2024,403,lecture,0
17/08/2024,404,lecture,0.29
17/08/2024,406,lecture,0.86
17/08/2024,407,lecture,1.06
17/08/2024,408,lecture,0.86
17/08/2024,409,lecture,0.86
17/08/2024,410,lecture,0.86
17/08/2024,412,lecture,1.34
17/08/2024,413,lecture,0.86
17/08/2024,414,lecture,0.29
17/08/2024,415,lecture,0.86
17/08/2024,417,lecture,0.48
17/08/2024,418,lecture,0
17/08/2024,419,lecture,0
17/08/2024,702,lecture,0
17/08/2024,703,lecture,3.84
17/08/2024,704,lecture,1.44
17/08/2024,705,lecture,5.76
18/08/2024,101,lab,0
18/08/2024,102,lab,0
18/08/2024,103,lab,0
18/08/2024,104,lab,0
18/08/2024,105,lab,0
18/08/2024,106,lab,0
18/08/2024,108,lab,0
18/08/2024,201,lab,0
18/08/2024,202,lab,0
18/08/2024,203,lab,0
18/08/2024,204,lab,0
18/08/2024,205,lab,0
18/08/2024,206,lab,0
18/08/2024,207,lab,0
18/08/2024,209,lab,0
18/08/2024,210,lab,0
18/08/2024,302,lab,0
18/08/2024,304,lab,0
18/08/2024,305,lab,0
18/08/2024,306,lab,0
18/08/2024,307,lab,0
18/08/2024,309,lab,0
18/08/2024,211,lecture,0
18/08/2024,213,lecture,0
18/08/2024,215,lecture,0
18/08/2024,222,lecture,0
18/08/2024,223,lecture,0
18/08/2024,225,lecture,0
18/08/2024,227,lecture,0
18/08/2024,228,lecture,0
18/08/2024,313,lecture,0
18/08/2024,314,lecture,0
18/08/2024,316,lecture,0
18/08/2024,318,lecture,0
18/08/2024,319,lecture,0.29
18/08/2024,320,lecture,0
18/08/2024,322,lecture,0
18/08/2024,324,lecture,0
18/08/2024,326,lecture,0
18/08/2024,401,lecture,0
18/08/2024,402,lecture,0
18/08/2024,403,lecture,0
18/08/2024,404,lecture,0
18/08/2024,406,lecture,0
18/08/2024,407,lecture,0
18/08/2024,408,lecture,0
18/08/2024,409,lecture,0
18/08/2024,410,lecture,0
18/08/2024,412,lecture,0
18/08/2024,413,lecture,0
18/08/2024,414,lecture,0
18/08/2024,415,lecture,0
18/08/2024,417,lecture,0
18/08/2024,418,lecture,0
18/08/2024,419,lecture,0
18/08/2024,702,lecture,0
18/08/2024,703,lecture,0
18/08/2024,704,lecture,0
18/08/2024,705,lecture,0
19/08/2024,101,lab,6.4
19/08/2024,102,lab,0
19/08/2024,103,lab,0
19/08/2024,104,lab,5.76
19/08/2024,105,lab,5.76
19/08/2024,106,lab,4.8
19/08/2024,108,lab,0
19/08/2024,201,lab,3.46
19/08/2024,202,lab,3.46
19/08/2024,203,lab,3.46
19/08/2024,204,lab,1.73
19/08/2024,205,lab,3.89
19/08/2024,206,lab,4.03
19/08/2024,207,lab,1.73
19/08/2024,209,lab,3.02
19/08/2024,210,lab,3.46
19/08/2024,302,lab,2.59
19/08/2024,304,lab,0
19/08/2024,305,lab,0.86
19/08/2024,306,lab,3.74
19/08/2024,307,lab,2.59
19/08/2024,309,lab,0
19/08/2024,211,lecture,1.15
19/08/2024,213,lecture,1.15
19/08/2024,215,lecture,1.15
19/08/2024,222,lecture,1.15
19/08/2024,223,lecture,1.15
19/08/2024,225,lecture,1.25
19/08/2024,227,lecture,0.86
19/08/2024,228,lecture,0.1
19/08/2024,313,lecture,1.25
19/08/2024,314,lecture,1.06
19/08/2024,316,lecture,1.15
19/08/2024,318,lecture,1.25
19/08/2024,319,lecture,1.15
19/08/2024,320,lecture,1.06
19/08/2024,322,lecture,1.15
19/08/2024,324,lecture,0.96
19/08/2024,326,lecture,0
19/08/2024,401,lecture,1.34
19/08/2024,402,lecture,1.15
19/08/2024,403,lecture,1.34
19/08/2024,404,lecture,1.15
19/08/2024,406,lecture,1.15
19/08/2024,407,lecture,1.15
19/08/2024,408,lecture,1.15
19/08/2024,409,lecture,1.34
19/08/2024,410,lecture,1.15
19/08/2024,412,lecture,0.86
19/08/2024,413,lecture,1.34
19/08/2024,414,lecture,1.15
19/08/2024,415,lecture,1.25
19/08/2024,417,lecture,1.25
19/08/2024,418,lecture,1.15
19/08/2024,419,lecture,0
19/08/2024,702,lecture,5.28
19/08/2024,703,lecture,5.28
19/08/2024,704,lecture,5.28
19/08/2024,705,lecture,6.24
20/08/2024,101,lab,5.76
20/08/2024,102,lab,1.92
20/08/2024,103,lab,1.92
20/08/2024,104,lab,5.76
20/08/2024,105,lab,1.92
20/08/2024,106,lab,3.2
20/08/2024,108,lab,3.84
20/08/2024,201,lab,2.59
20/08/2024,202,lab,2.59
20/08/2024,203,lab,3.46
20/08/2024,204,lab,3.46
20/08/2024,205,lab,3.89
20/08/2024,206,lab,3.46
20/08/2024,207,lab,3.46
20/08/2024,209,lab,2.59
20/08/2024,210,lab,3.74
20/08/2024,302,lab,0.86
20/08/2024,304,lab,1.73
20/08/2024,305,lab,3.46
20/08/2024,306,lab,1.44
20/08/2024,307,lab,1.73
20/08/2024,309,lab,3.89
20/08/2024,211,lecture,1.15
20/08/2024,213,lecture,1.15
20/08/2024,215,lecture,1.34
20/08/2024,222,lecture,0.29
20/08/2024,223,lecture,1.15
20/08/2024,225,lecture,1.25
20/08/2024,227,lecture,1.3
20/08/2024,228,lecture,0.77
20/08/2024,313,lecture,1.3
20/08/2024,314,lecture,1.15
20/08/2024,316,lecture,1.15
20/08/2024,318,lecture,1.15
20/08/2024,319,lecture,1.3
20/08/2024,320,lecture,1.06
20/08/2024,322,lecture,1.15
20/08/2024,324,lecture,0.96
20/08/2024,326,lecture,0.58
20/08/2024,401,lecture,1.01
20/08/2024,402,lecture,1.3
20/08/2024,403,lecture,1.1
20/08/2024,404,lecture,1.15
20/08/2024,406,lecture,1.15
20/08/2024,407,lecture,1.15
20/08/2024,408,lecture,1.15
20/08/2024,409,lecture,1.3
20/08/2024,410,lecture,1.15
20/08/2024,412,lecture,1.15
20/08/2024,413,lecture,1.15
20/08/2024,414,lecture,1.3
20/08/2024,415,lecture,1.15
20/08/2024,417,lecture,1.15
20/08/2024,418,lecture,1.1
